Word,Neighbors,degree
19th,"['18th', '20th', 'century', '17th', 'nineteenth', '16th', '21st', '15th', 'twentieth', 'eighteenth']",10
indian,['nepalese'],1
championship,"['champions', 'champion', 'championships', 'tournament', 'cup', 'team', 'finals', 'qualifiers']",8
taking,"['took', 'take']",2
owned,"['owns', 'purchased', 'bought']",3
far,[],0
star,['stars'],1
plays,['playing'],1
lower,['upper'],1
republic,[],0
initially,['subsequently'],1
performance,[],0
performed,['performs'],1
change,"['changes', 'changing']",2
stage,[],0
writer,"['author', 'novelist', 'essayist', 'journalist', 'playwright', 'poet', 'screenwriter', 'humorist', 'memoirist', 'satirist']",10
behind,[],0
1983,"['1982', '1985', '1987', '1981', '1979', '1978', '1986', '1977', '1989', '1975']",10
uk,[],0
action,[],0
parts,[],0
ever,[],0
decided,"['opted', 'chose', 'persuaded', 'refused', 'agreed', 'hoped', 'wanted', 'wished', 'tried', 'asked']",10
come,['go'],1
author,"['writer', 'essayist', 'novelist', 'memoirist', 'poet', 'bibliographer', 'humorist', 'journalist', 'historian']",9
future,[],0
tv,['television'],1
magazine,[],0
finished,"['finishing', 'finish']",2
human,[],0
below,['above'],1
changed,[],0
put,['putting'],1
lived,['resided'],1
start,[],0
schools,['colleges'],1
seasons,['season'],1
brought,['came'],1
represented,[],0
gold,['silver'],1
1982,"['1983', '1985', '1986', '1981', '1979', '1978', '1987', '1977', '1975', '1989']",10
win,"['clinching', 'victory', 'beating', 'clinch', 'losing', 'won', 'winning', 'wins']",8
artist,[],0
my,"['your', 'dear', 'me']",3
washington,[],0
articles,[],0
usually,"['typically', 'normally', 'sometimes', 'often', 'rarely', 'invariably', 'preferably', 'occasionally']",8
museum,[],0
capital,[],0
senior,[],0
teams,"['team', 'leagues', 'clubs']",3
real,[],0
contains,"['containing', 'contained', 'includes', 'comprises']",4
sometimes,"['often', 'usually', 'occasionally', 'rarely', 'frequently', 'commonly', 'alternately', 'seldom']",8
training,[],0
big,[],0
peter,"['michael', 'andrew', 'paul', 'john', 'stephen', 'david', 'nicholas', 'anthony', 'simon', 'christopher']",10
process,['processes'],1
via,[],0
australian,[],0
canadian,[],0
too,"['quite', 'very', 'so']",3
census,[],0
native,[],0
sent,"['dispatched', 'despatched']",2
1979,"['1978', '1983', '1982', '1981', '1977', '1975', '1973', '1974', '1985', '1987']",10
green,['blue'],1
provide,"['providing', 'provides']",2
committee,['committees'],1
especially,['particularly'],1
richard,"['robert', 'john', 'ralph', 'gerald', 'walter', 'william', 'hugh', 'thomas', 'james', 'david']",10
natural,[],0
v,[],0
limited,[],0
edition,[],0
reported,[],0
date,[],0
competition,[],0
whom,['who'],1
itself,[],0
success,['successes'],1
cross,[],0
collection,"['collections', 'catalogue']",2
numerous,"['several', 'many', 'countless', 'various', 'dozens', 'plethora']",6
reached,['reaching'],1
interest,[],0
earlier,['later'],1
notable,['noteworthy'],1
minister,['prime'],1
1981,"['1978', '1983', '1985', '1982', '1977', '1979', '1987', '1986', '1975', '1989']",10
studio,[],0
